episode: 13	 steps: 1300	 total steps: 18660	 epsilon: 0.76
episode: 13	 steps: 1400	 total steps: 18760	 epsilon: 0.76
episode: 13	 steps: 1500	 total steps: 18860	 epsilon: 0.76
episode: 13	 steps: 1600	 total steps: 18960	 epsilon: 0.76
episode: 13	 steps: 1700	 total steps: 19060	 epsilon: 0.76
episode: 13	 steps: 1800	 total steps: 19160	 epsilon: 0.76
episode: 13	 steps: 1900	 total steps: 19260	 epsilon: 0.76
episode: 13	 steps: 2000	 total steps: 19360	 epsilon: 0.76
episode: 13	 steps: 2100	 total steps: 19460	 epsilon: 0.76
episode: 13	 steps: 2200	 total steps: 19560	 epsilon: 0.76
episode: 13	 steps: 2300	 total steps: 19660	 epsilon: 0.76
episode: 13	 steps: 2400	 total steps: 19760	 epsilon: 0.76
episode: 13	 steps: 2500	 total steps: 19860	 epsilon: 0.76
episode: 13	 steps: 2600	 total steps: 19960	 epsilon: 0.76
episode: 13	 steps: 2700	 total steps: 20060	 epsilon: 0.75
episode: 14	 steps: 100	 total steps: 20244	 epsilon: 0.75
episode: 14	 steps: 200	 total steps: 20344	 epsilon: 0.75
episode: 14	 steps: 300	 total steps: 20444	 epsilon: 0.75
episode: 14	 steps: 400	 total steps: 20544	 epsilon: 0.75
episode: 14	 steps: 500	 total steps: 20644	 epsilon: 0.75
episode: 14	 steps: 600	 total steps: 20744	 epsilon: 0.75
episode: 14	 steps: 700	 total steps: 20844	 epsilon: 0.75
episode: 14	 steps: 800	 total steps: 20944	 epsilon: 0.75
episode: 14	 steps: 900	 total steps: 21044	 epsilon: 0.75
episode: 14	 steps: 1000	 total steps: 21144	 epsilon: 0.75
episode: 14	 steps: 1100	 total steps: 21244	 epsilon: 0.75
episode: 14	 steps: 1200	 total steps: 21344	 epsilon: 0.75
episode: 14	 steps: 1300	 total steps: 21444	 epsilon: 0.75
episode: 15	 steps: 100	 total steps: 21604	 epsilon: 0.74
episode: 15	 steps: 200	 total steps: 21704	 epsilon: 0.74
episode: 15	 steps: 300	 total steps: 21804	 epsilon: 0.74
episode: 15	 steps: 400	 total steps: 21904	 epsilon: 0.74
episode: 15	 steps: 500	 total steps: 22004	 epsilon: 0.74
episode: 15	 steps: 600	 total steps: 22104	 epsilon: 0.74
episode: 15	 steps: 700	 total steps: 22204	 epsilon: 0.74
episode: 15	 steps: 800	 total steps: 22304	 epsilon: 0.74
episode: 15	 steps: 900	 total steps: 22404	 epsilon: 0.74
episode: 15	 steps: 1000	 total steps: 22504	 epsilon: 0.74
episode: 15	 steps: 1100	 total steps: 22604	 epsilon: 0.74
