Evaluation: 3	 average reward: -960.0
episode: 151	 steps: 01857	 total steps:515813	 epsilon: 0.01	 average Q: 0.020
episode: 152	 steps: 01185	 total steps:516997	 epsilon: 0.01	 average Q: 0.020
episode: 153	 steps: 00881	 total steps:517877	 epsilon: 0.01	 average Q: 0.020
episode: 154	 steps: 01365	 total steps:519241	 epsilon: 0.01	 average Q: 0.020
episode: 155	 steps: 02701	 total steps:521941	 epsilon: 0.01	 average Q: 0.020
episode: 156	 steps: 03741	 total steps:525681	 epsilon: 0.01	 average Q: 0.020
episode: 157	 steps: 05885	 total steps:531565	 epsilon: 0.01	 average Q: 0.020
episode: 158	 steps: 00889	 total steps:532453	 epsilon: 0.01	 average Q: 0.020
episode: 159	 steps: 03897	 total steps:536349	 epsilon: 0.01	 average Q: 0.020
episode: 160	 steps: 01201	 total steps:537549	 epsilon: 0.01	 average Q: 0.020
episode: 161	 steps: 01761	 total steps:539309	 epsilon: 0.01	 average Q: 0.020
episode: 162	 steps: 01385	 total steps:540693	 epsilon: 0.01	 average Q: 0.020
episode: 163	 steps: 01897	 total steps:542589	 epsilon: 0.01	 average Q: 0.020
episode: 164	 steps: 02165	 total steps:544753	 epsilon: 0.01	 average Q: 0.020
episode: 165	 steps: 02185	 total steps:546937	 epsilon: 0.01	 average Q: 0.020
episode: 166	 steps: 00645	 total steps:547581	 epsilon: 0.01	 average Q: 0.020
episode: 167	 steps: 02637	 total steps:550217	 epsilon: 0.01	 average Q: 0.020
episode: 168	 steps: 00393	 total steps:550609	 epsilon: 0.01	 average Q: 0.020
episode: 169	 steps: 01149	 total steps:551757	 epsilon: 0.01	 average Q: 0.020
episode: 170	 steps: 02845	 total steps:554601	 epsilon: 0.01	 average Q: 0.020
episode: 171	 steps: 01241	 total steps:555841	 epsilon: 0.01	 average Q: 0.020
episode: 172	 steps: 04197	 total steps:560037	 epsilon: 0.01	 average Q: 0.020
episode: 173	 steps: 01529	 total steps:561565	 epsilon: 0.01	 average Q: 0.020
episode: 174	 steps: 01073	 total steps:562637	 epsilon: 0.01	 average Q: 0.020
episode: 175	 steps: 00237	 total steps:562873	 epsilon: 0.01	 average Q: 0.020
episode: 176	 steps: 01697	 total steps:564569	 epsilon: 0.01	 average Q: 0.020
episode: 177	 steps: 01681	 total steps:566249	 epsilon: 0.01	 average Q: 0.020
episode: 178	 steps: 00937	 total steps:567185	 epsilon: 0.01	 average Q: 0.020
episode: 179	 steps: 01641	 total steps:568825	 epsilon: 0.01	 average Q: 0.020
episode: 180	 steps: 02261	 total steps:571085	 epsilon: 0.01	 average Q: 0.020
episode: 181	 steps: 04137	 total steps:575221	 epsilon: 0.01	 average Q: 0.020
episode: 182	 steps: 00577	 total steps:575797	 epsilon: 0.01	 average Q: 0.020
episode: 183	 steps: 01081	 total steps:576877	 epsilon: 0.01	 average Q: 0.020
episode: 184	 steps: 06357	 total steps:583233	 epsilon: 0.01	 average Q: 0.020
episode: 185	 steps: 02861	 total steps:586093	 epsilon: 0.01	 average Q: 0.020
episode: 186	 steps: 01825	 total steps:587917	 epsilon: 0.01	 average Q: 0.020
episode: 187	 steps: 02177	 total steps:590093	 epsilon: 0.01	 average Q: 0.020
episode: 188	 steps: 00305	 total steps:590397	 epsilon: 0.01	 average Q: 0.020
episode: 189	 steps: 00701	 total steps:591097	 epsilon: 0.01	 average Q: 0.020
episode: 190	 steps: 02549	 total steps:593645	 epsilon: 0.01	 average Q: 0.020
episode: 191	 steps: 01061	 total steps:594705	 epsilon: 0.01	 average Q: 0.020
episode: 192	 steps: 00565	 total steps:595269	 epsilon: 0.01	 average Q: 0.020
episode: 193	 steps: 00797	 total steps:596065	 epsilon: 0.01	 average Q: 0.020
episode: 194	 steps: 00373	 total steps:596437	 epsilon: 0.01	 average Q: 0.020
episode: 195	 steps: 00757	 total steps:597193	 epsilon: 0.01	 average Q: 0.020
episode: 196	 steps: 01377	 total steps:598569	 epsilon: 0.01	 average Q: 0.020
episode: 197	 steps: 00189	 total steps:598757	 epsilon: 0.01	 average Q: 0.020
episode: 198	 steps: 00925	 total steps:599681	 epsilon: 0.01	 average Q: 0.020
episode: 199	 steps: 03065	 total steps:602745	 epsilon: 0.01	 average Q: 0.020
episode: 200	 steps: 00993	 total steps:603737	 epsilon: 0.01	 average Q: 0.020
Evaluation: 4	 average reward: -2500.0
episode: 201	 steps: 03881	 total steps:607617	 epsilon: 0.01	 average Q: 0.020
episode: 202	 steps: 00465	 total steps:608081	 epsilon: 0.01	 average Q: 0.020
episode: 203	 steps: 00565	 total steps:608645	 epsilon: 0.01	 average Q: 0.020
episode: 204	 steps: 01609	 total steps:610253	 epsilon: 0.01	 average Q: 0.020
episode: 205	 steps: 01349	 total steps:611601	 epsilon: 0.01	 average Q: 0.020
episode: 206	 steps: 01005	 total steps:612605	 epsilon: 0.01	 average Q: 0.020
episode: 207	 steps: 01729	 total steps:614333	 epsilon: 0.01	 average Q: 0.020
episode: 208	 steps: 00185	 total steps:614517	 epsilon: 0.01	 average Q: 0.020
episode: 209	 steps: 01377	 total steps:615893	 epsilon: 0.01	 average Q: 0.020
episode: 210	 steps: 01089	 total steps:616981	 epsilon: 0.01	 average Q: 0.020
episode: 211	 steps: 02557	 total steps:619537	 epsilon: 0.01	 average Q: 0.020
episode: 212	 steps: 01533	 total steps:621069	 epsilon: 0.01	 average Q: 0.020
episode: 213	 steps: 01061	 total steps:622129	 epsilon: 0.01	 average Q: 0.020
episode: 214	 steps: 00209	 total steps:622337	 epsilon: 0.01	 average Q: 0.020
episode: 215	 steps: 00565	 total steps:622901	 epsilon: 0.01	 average Q: 0.020
episode: 216	 steps: 00293	 total steps:623193	 epsilon: 0.01	 average Q: 0.020
episode: 217	 steps: 01165	 total steps:624357	 epsilon: 0.01	 average Q: 0.020
episode: 218	 steps: 01237	 total steps:625593	 epsilon: 0.01	 average Q: 0.020
episode: 219	 steps: 02153	 total steps:627745	 epsilon: 0.01	 average Q: 0.020
episode: 220	 steps: 00917	 total steps:628661	 epsilon: 0.01	 average Q: 0.020
episode: 221	 steps: 01665	 total steps:630325	 epsilon: 0.01	 average Q: 0.020
episode: 222	 steps: 01037	 total steps:631361	 epsilon: 0.01	 average Q: 0.020
episode: 223	 steps: 02513	 total steps:633873	 epsilon: 0.01	 average Q: 0.020
episode: 224	 steps: 03853	 total steps:637725	 epsilon: 0.01	 average Q: 0.020
episode: 225	 steps: 02041	 total steps:639765	 epsilon: 0.01	 average Q: 0.020
episode: 226	 steps: 00893	 total steps:640657	 epsilon: 0.01	 average Q: 0.020
episode: 227	 steps: 03469	 total steps:644125	 epsilon: 0.01	 average Q: 0.020
episode: 228	 steps: 02797	 total steps:646921	 epsilon: 0.01	 average Q: 0.020
episode: 229	 steps: 00717	 total steps:647637	 epsilon: 0.01	 average Q: 0.020
episode: 230	 steps: 02137	 total steps:649773	 epsilon: 0.01	 average Q: 0.020
episode: 231	 steps: 00617	 total steps:650389	 epsilon: 0.01	 average Q: 0.020
