episode: 137	 steps: 04152	 total steps:985966	 epsilon: 0.11
episode: 138	 steps: 04935	 total steps:990901	 epsilon: 0.11
episode: 139	 steps: 07687	 total steps:998588	 epsilon: 0.10
episode: 140	 steps: 01952	 total steps:1000540	 epsilon: 0.10
episode: 141	 steps: 00927	 total steps:1001467	 epsilon: 0.10
episode: 142	 steps: 01887	 total steps:1003354	 epsilon: 0.10
episode: 143	 steps: 01941	 total steps:1005295	 epsilon: 0.10
episode: 144	 steps: 01120	 total steps:1006415	 epsilon: 0.10
episode: 145	 steps: 02433	 total steps:1008848	 epsilon: 0.10
episode: 146	 steps: 01411	 total steps:1010259	 epsilon: 0.10
episode: 147	 steps: 02130	 total steps:1012389	 epsilon: 0.10
episode: 148	 steps: 01650	 total steps:1014039	 epsilon: 0.10
episode: 149	 steps: 00697	 total steps:1014736	 epsilon: 0.10
episode: 150	 steps: 01787	 total steps:1016523	 epsilon: 0.10
Evaluation: 3	 average reward: -10000.0
episode: 151	 steps: 01207	 total steps:1017730	 epsilon: 0.10
episode: 152	 steps: 01281	 total steps:1019011	 epsilon: 0.10
episode: 153	 steps: 02439	 total steps:1021450	 epsilon: 0.10
episode: 154	 steps: 04162	 total steps:1025612	 epsilon: 0.10
episode: 155	 steps: 08602	 total steps:1034214	 epsilon: 0.10
episode: 156	 steps: 02518	 total steps:1036732	 epsilon: 0.10
episode: 157	 steps: 02334	 total steps:1039066	 epsilon: 0.10
episode: 158	 steps: 04919	 total steps:1043985	 epsilon: 0.10
episode: 159	 steps: 01095	 total steps:1045080	 epsilon: 0.10
episode: 160	 steps: 02045	 total steps:1047125	 epsilon: 0.10
episode: 161	 steps: 05470	 total steps:1052595	 epsilon: 0.10
episode: 162	 steps: 01772	 total steps:1054367	 epsilon: 0.10
episode: 163	 steps: 00227	 total steps:1054594	 epsilon: 0.10
episode: 164	 steps: 06805	 total steps:1061399	 epsilon: 0.10
episode: 165	 steps: 09079	 total steps:1070478	 epsilon: 0.10
episode: 166	 steps: 02890	 total steps:1073368	 epsilon: 0.10
episode: 167	 steps: 01398	 total steps:1074766	 epsilon: 0.10
episode: 168	 steps: 00585	 total steps:1075351	 epsilon: 0.10
episode: 169	 steps: 00583	 total steps:1075934	 epsilon: 0.10
episode: 170	 steps: 01320	 total steps:1077254	 epsilon: 0.10
episode: 171	 steps: 02706	 total steps:1079960	 epsilon: 0.10
episode: 172	 steps: 01464	 total steps:1081424	 epsilon: 0.10
episode: 173	 steps: 05547	 total steps:1086971	 epsilon: 0.10
episode: 174	 steps: 03981	 total steps:1090952	 epsilon: 0.10
episode: 175	 steps: 10000	 total steps:1100952	 epsilon: 0.10
episode: 176	 steps: 00999	 total steps:1101951	 epsilon: 0.10
episode: 177	 steps: 01273	 total steps:1103224	 epsilon: 0.10
episode: 178	 steps: 10000	 total steps:1113224	 epsilon: 0.10
episode: 179	 steps: 03132	 total steps:1116356	 epsilon: 0.10
episode: 180	 steps: 05482	 total steps:1121838	 epsilon: 0.10
episode: 181	 steps: 06983	 total steps:1128821	 epsilon: 0.10
episode: 182	 steps: 02020	 total steps:1130841	 epsilon: 0.10
episode: 183	 steps: 05205	 total steps:1136046	 epsilon: 0.10
episode: 184	 steps: 10000	 total steps:1146046	 epsilon: 0.10
episode: 185	 steps: 04335	 total steps:1150381	 epsilon: 0.10
episode: 186	 steps: 01233	 total steps:1151614	 epsilon: 0.10
episode: 187	 steps: 07349	 total steps:1158963	 epsilon: 0.10
episode: 188	 steps: 04753	 total steps:1163716	 epsilon: 0.10
episode: 189	 steps: 00731	 total steps:1164447	 epsilon: 0.10
episode: 190	 steps: 10000	 total steps:1174447	 epsilon: 0.10
episode: 191	 steps: 01280	 total steps:1175727	 epsilon: 0.10
episode: 192	 steps: 06937	 total steps:1182664	 epsilon: 0.10
episode: 193	 steps: 02111	 total steps:1184775	 epsilon: 0.10
episode: 194	 steps: 02781	 total steps:1187556	 epsilon: 0.10
episode: 195	 steps: 09897	 total steps:1197453	 epsilon: 0.10
episode: 196	 steps: 02067	 total steps:1199520	 epsilon: 0.10
episode: 197	 steps: 10000	 total steps:1209520	 epsilon: 0.10
episode: 198	 steps: 01479	 total steps:1210999	 epsilon: 0.10
episode: 199	 steps: 01928	 total steps:1212927	 epsilon: 0.10
episode: 200	 steps: 01452	 total steps:1214379	 epsilon: 0.10
Evaluation: 4	 average reward: -10000.0
episode: 201	 steps: 00383	 total steps:1214762	 epsilon: 0.10
episode: 202	 steps: 01730	 total steps:1216492	 epsilon: 0.10
episode: 203	 steps: 06369	 total steps:1222861	 epsilon: 0.10
episode: 204	 steps: 07534	 total steps:1230395	 epsilon: 0.10
episode: 205	 steps: 01230	 total steps:1231625	 epsilon: 0.10
episode: 206	 steps: 10000	 total steps:1241625	 epsilon: 0.10
episode: 207	 steps: 01417	 total steps:1243042	 epsilon: 0.10
episode: 208	 steps: 00542	 total steps:1243584	 epsilon: 0.10
episode: 209	 steps: 06314	 total steps:1249898	 epsilon: 0.10
episode: 210	 steps: 09116	 total steps:1259014	 epsilon: 0.10
episode: 211	 steps: 02287	 total steps:1261301	 epsilon: 0.10
episode: 212	 steps: 03155	 total steps:1264456	 epsilon: 0.10
episode: 213	 steps: 02290	 total steps:1266746	 epsilon: 0.10
episode: 214	 steps: 01002	 total steps:1267748	 epsilon: 0.10
episode: 215	 steps: 09991	 total steps:1277739	 epsilon: 0.10
episode: 216	 steps: 06355	 total steps:1284094	 epsilon: 0.10
episode: 217	 steps: 02812	 total steps:1286906	 epsilon: 0.10
episode: 218	 steps: 02089	 total steps:1288995	 epsilon: 0.10
episode: 219	 steps: 01538	 total steps:1290533	 epsilon: 0.10
episode: 220	 steps: 01697	 total steps:1292230	 epsilon: 0.10
episode: 221	 steps: 02403	 total steps:1294633	 epsilon: 0.10
episode: 222	 steps: 01882	 total steps:1296515	 epsilon: 0.10
episode: 223	 steps: 02441	 total steps:1298956	 epsilon: 0.10
episode: 224	 steps: 08476	 total steps:1307432	 epsilon: 0.10
episode: 225	 steps: 09112	 total steps:1316544	 epsilon: 0.10
episode: 226	 steps: 02354	 total steps:1318898	 epsilon: 0.10
episode: 227	 steps: 02869	 total steps:1321767	 epsilon: 0.10
episode: 228	 steps: 06085	 total steps:1327852	 epsilon: 0.10
episode: 229	 steps: 01411	 total steps:1329263	 epsilon: 0.10
episode: 230	 steps: 02980	 total steps:1332243	 epsilon: 0.10
episode: 231	 steps: 01932	 total steps:1334175	 epsilon: 0.10
episode: 232	 steps: 01424	 total steps:1335599	 epsilon: 0.10
episode: 233	 steps: 01257	 total steps:1336856	 epsilon: 0.10
episode: 234	 steps: 04402	 total steps:1341258	 epsilon: 0.10
episode: 235	 steps: 00929	 total steps:1342187	 epsilon: 0.10
episode: 236	 steps: 02151	 total steps:1344338	 epsilon: 0.10
episode: 237	 steps: 06262	 total steps:1350600	 epsilon: 0.10
episode: 238	 steps: 00734	 total steps:1351334	 epsilon: 0.10
episode: 239	 steps: 04685	 total steps:1356019	 epsilon: 0.10
episode: 240	 steps: 06166	 total steps:1362185	 epsilon: 0.10
episode: 241	 steps: 04029	 total steps:1366214	 epsilon: 0.10
episode: 242	 steps: 03027	 total steps:1369241	 epsilon: 0.10
episode: 243	 steps: 04528	 total steps:1373769	 epsilon: 0.10
episode: 244	 steps: 01177	 total steps:1374946	 epsilon: 0.10
episode: 245	 steps: 02824	 total steps:1377770	 epsilon: 0.10
episode: 246	 steps: 00615	 total steps:1378385	 epsilon: 0.10
episode: 247	 steps: 05712	 total steps:1384097	 epsilon: 0.10
episode: 248	 steps: 05416	 total steps:1389513	 epsilon: 0.10
episode: 249	 steps: 03344	 total steps:1392857	 epsilon: 0.10
episode: 250	 steps: 00627	 total steps:1393484	 epsilon: 0.10
Evaluation: 5	 average reward: -10000.0
episode: 251	 steps: 05267	 total steps:1398751	 epsilon: 0.10
episode: 252	 steps: 01248	 total steps:1399999	 epsilon: 0.10
episode: 253	 steps: 00677	 total steps:1400676	 epsilon: 0.10
episode: 254	 steps: 05096	 total steps:1405772	 epsilon: 0.10
episode: 255	 steps: 02917	 total steps:1408689	 epsilon: 0.10
episode: 256	 steps: 02887	 total steps:1411576	 epsilon: 0.10
episode: 257	 steps: 01567	 total steps:1413143	 epsilon: 0.10
episode: 258	 steps: 10000	 total steps:1423143	 epsilon: 0.10
episode: 259	 steps: 06208	 total steps:1429351	 epsilon: 0.10
episode: 260	 steps: 03340	 total steps:1432691	 epsilon: 0.10
episode: 261	 steps: 01510	 total steps:1434201	 epsilon: 0.10
episode: 262	 steps: 08929	 total steps:1443130	 epsilon: 0.10
episode: 263	 steps: 10000	 total steps:1453130	 epsilon: 0.10
episode: 264	 steps: 03848	 total steps:1456978	 epsilon: 0.10
episode: 265	 steps: 01828	 total steps:1458806	 epsilon: 0.10
episode: 266	 steps: 01673	 total steps:1460479	 epsilon: 0.10
episode: 267	 steps: 01166	 total steps:1461645	 epsilon: 0.10
episode: 268	 steps: 02522	 total steps:1464167	 epsilon: 0.10
episode: 269	 steps: 05327	 total steps:1469494	 epsilon: 0.10
episode: 270	 steps: 03743	 total steps:1473237	 epsilon: 0.10
episode: 271	 steps: 04273	 total steps:1477510	 epsilon: 0.10
episode: 272	 steps: 02544	 total steps:1480054	 epsilon: 0.10
episode: 273	 steps: 02169	 total steps:1482223	 epsilon: 0.10
episode: 274	 steps: 01739	 total steps:1483962	 epsilon: 0.10
episode: 275	 steps: 00705	 total steps:1484667	 epsilon: 0.10
episode: 276	 steps: 00746	 total steps:1485413	 epsilon: 0.10
episode: 277	 steps: 01025	 total steps:1486438	 epsilon: 0.10
episode: 278	 steps: 03869	 total steps:1490307	 epsilon: 0.10
episode: 279	 steps: 02151	 total steps:1492458	 epsilon: 0.10
episode: 280	 steps: 03998	 total steps:1496456	 epsilon: 0.10
episode: 281	 steps: 01619	 total steps:1498075	 epsilon: 0.10
episode: 282	 steps: 01604	 total steps:1499679	 epsilon: 0.10
episode: 283	 steps: 07612	 total steps:1507291	 epsilon: 0.10
episode: 284	 steps: 01574	 total steps:1508865	 epsilon: 0.10
episode: 285	 steps: 01237	 total steps:1510102	 epsilon: 0.10
episode: 286	 steps: 06310	 total steps:1516412	 epsilon: 0.10
episode: 287	 steps: 01707	 total steps:1518119	 epsilon: 0.10
episode: 288	 steps: 09161	 total steps:1527280	 epsilon: 0.10
episode: 289	 steps: 04919	 total steps:1532199	 epsilon: 0.10
episode: 290	 steps: 10000	 total steps:1542199	 epsilon: 0.10
episode: 291	 steps: 02448	 total steps:1544647	 epsilon: 0.10
episode: 292	 steps: 01455	 total steps:1546102	 epsilon: 0.10
episode: 293	 steps: 01924	 total steps:1548026	 epsilon: 0.10
episode: 294	 steps: 03713	 total steps:1551739	 epsilon: 0.10
episode: 295	 steps: 01270	 total steps:1553009	 epsilon: 0.10
episode: 296	 steps: 08600	 total steps:1561609	 epsilon: 0.10
episode: 297	 steps: 01865	 total steps:1563474	 epsilon: 0.10
episode: 298	 steps: 10000	 total steps:1573474	 epsilon: 0.10
episode: 299	 steps: 04872	 total steps:1578346	 epsilon: 0.10
